Eruption period	Comment	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total
Oct.14	AH_29_cpx3_5 	50.51	0.8578	4.17	8.31	0.2104	15.4	18.7	0.2868	0.0791	0.018	98.5421
Oct.14	AH_29_cpx3_6 	52.08	0.5653	2.48	6.93	0.1526	16.26	19.71	0.241	0.1221	0.0178	98.5588
Oct.14	AH_29_cpx3_7 	51.18	0.8863	3.43	8.03	0.2051	15.2	19.43	0.2678	0.0359	0.0135	98.6786
Oct.14	AH_29_cpx3_8 	52.06	0.661	2.76	6.89	0.1782	15.88	19.99	0.2281	0.1267	0.0223	98.7963
Oct.14	AH_29_cpx3_9 	52.05	0.6464	2.8	7.13	0.1928	15.93	19.94	0.2429	0.1168	0.0039	99.0528
Oct.14	HB_9_cpx2_1 	53.84	0.4142	1.5658	9.2	0.2767	19.23	14.47	0.1617	0.0632	0.0255	99.2471
Oct.14	HB_9_cpx2_2 	53.62	0.4359	1.8026	8.79	0.2836	18.41	15.59	0.1949	0.0657	0.032	99.2247
Oct.14	HB_9_cpx2_3 	50.78	1.0199	3.79	7.96	0.1984	15.25	19.4	0.2395	0.1045	0.0033	98.7456
Oct.14	HB_9_cpx2_4 	51.22	0.9537	3.73	7.63	0.1878	15.21	19.74	0.241	0.1113	0.0259	99.0497
Oct.14	HB_9_cpx2_5 	52.07	0.716	3.04	7.65	0.1814	15.37	19.85	0.2492	0.1731	0.0261	99.3258
Oct.14	HB_9_cpx2_6 	51.65	0.7894	2.89	8.91	0.2199	14.9	19.45	0.2142	0.0929	0.0373	99.1537
Oct.14	HB_9_cpx2_7 	51.87	0.809	2.23	9.95	0.2655	14.93	18.61	0.2065	0.0134	0.0325	98.9169
Oct.14	HB_9_cpx2_8 	52.23	0.7301	2.12	8.82	0.2137	15.63	18.89	0.214	0.0534	0.0095	98.9107
Oct.14	HB_9_cpx3_1 	52.88	0.4015	1.6792	7.69	0.2221	18.36	16.3	0.1827	0.1461	0.0334	97.895
Oct.14	HB_9_cpx3_2 	51.13	0.7762	3.57	7.21	0.1893	16.06	19	0.2328	0.2477	0.0255	98.4415
Oct.14	HB_9_cpx3_3 	51.4	0.6077	2.88	6.72	0.1845	16.03	19.5	0.2244	0.2106	0.0269	97.7841
Oct.14	HB_9_cpx3_4 	50.65	0.8915	3.6	7.92	0.2107	15.57	18.68	0.2535	0.1043	0.0298	97.9098
Oct.14	HB_9_cpx3_5 	51.66	0.6467	2.78	7.1	0.1751	16	19.22	0.2166	0.1348	0.0406	97.9738
Oct.14	HB_9_cpx3_6 	52.03	0.6842	2.04	8.7	0.2106	15.53	18.93	0.2436	0.0615	0.0277	98.4576
Oct.14	HB_9_cpx4_1 	53.24	0.4371	2.12	7.66	0.2	17.59	17.4	0.2143	0.1282	0.0157	99.0053
Oct.14	HB_9_cpx4_2 	52.8	0.4482	2.02	7.75	0.2356	17.6	17.31	0.1737	0.0981	0.0311	98.4667
Oct.14	HB_9_cpx4_3 	51.13	0.8756	3.73	7.83	0.1908	15.89	18.71	0.2558	0.1703	0.0254	98.8079
